高等代数（上册）- 章节页码映射表
=====================================
教材：高等代数创新教材 上 丘维声
PDF：高等代数创新教材 上 丘维声_outlined.pdf
答案区起始页：388

序号    章节号    起始页    结束页    标题
------------------------------------------------------
1       1.1      26        37       解线性方程组的矩阵消元法
2       1.2      38        44       线性方程组的解的情况及其判别准则
3       1.3      45        51       数域
4       2.1      52        55       n 元排列
5       2.2      56        60       n 阶行列式的定义
6       2.3      61        69       行列式的性质
7       2.4      70        84       行列式按一行(列)展开
8       2.5      85        89       克莱姆(Cramer)法则
9       2.6      90        101      行列式按 k 行(列)展开
10      3.1      102       108      n 维向量空间 Kn
11      3.2      109       118      线性相关与线性无关的向量组
12      3.3      119       126      向量组的秩
13      3.4      127       130      子空间的基与维数
14      3.5      131       140      矩阵的秩
15      3.6      141       144      线性方程组有解的充分必要条件
16      3.7      145       151      齐次线性方程组的解集的结构
17      3.8      152       162      非齐次线性方程组的解集的结构
18      4.1      163       177      矩阵的运算
19      4.2      178       187      特殊矩阵
20      4.3      188       201      矩阵乘积的秩与行列式
21      4.4      202       215      可逆矩阵
22      4.5      216       235      矩阵的分块
23      4.6      236       250      正交矩阵·欧几里得空间 Rn
24      4.7      251       265      Kn 到 Ks 的线性映射
25      5.1      266       269      等价关系与集合的划分
26      5.2      270       276      矩阵的相抵
27      5.3      277       285      广义逆矩阵
28      5.4      286       290      矩阵的相似
29      5.5      291       303      矩阵的特征值和特征向量
30      5.6      304       314      矩阵可对角化的条件
31      5.7      315       336      实对称矩阵的对角化
32      6.1      337       353      二次型及其标准形
33      6.2      354       361      实二次型的规范形
34      6.3      362       387      线性变换的矩阵表示（答案区前一节）

总计：34个章节，覆盖页面 26-387，答案区 388+
